word_start,word_end,line_end
22.8430881431,23.0706035581,nan
23.0706035581,23.4948400291,nan
23.4948400291,23.645170068,nan
23.7230214626,23.9212106521,nan
23.9212106521,24.4053136582,nan
24.4053136582,24.6363281444,nan
24.6363281444,24.9496679786,nan
24.9496679786,25.034013605,nan
25.1141038439,25.3821249294,nan
25.3821249294,25.6107934268,nan
25.6107934268,25.7712871232,nan
25.7712871232,26.985941043,26.985941043
30.1503518388,30.320612245,nan
30.377371607,30.491428571,nan
30.5682519833,30.780952381,nan
30.8385186609,31.0724264754,nan
31.0724264754,31.2672551123,nan
31.2672551123,31.842539683,nan
31.9043650792,32.2498499898,nan
32.2498499898,32.375873016,nan
32.4533851513,33.1962637406,nan
33.1962637406,34.813968254,34.813968254
37.0918256815,38.044160249,nan
38.044160249,38.582857143,nan
38.8529510717,39.761269841,nan
39.8698722499,40.1565027638,nan
40.1565027638,40.431746032,nan
40.869215311,42.285714286,nan
42.6247790947,43.1195751119,nan
43.1195751119,44.195555556,44.195555556
44.9840567905,45.4715587306,nan
45.4715587306,46.11047619,nan
46.3048602416,46.603174603,nan
46.7572567575,47.024761905,nan
47.2050539836,47.451428571,nan
47.5755187745,47.761269841,nan
47.9361751877,49.102947846,49.102947846
52.3564946027,52.5674923232,nan
52.5674923232,52.8078566206,nan
52.8078566206,53.0580752291,nan
53.0580752291,53.2657680862,nan
53.2657680862,53.384126984,nan
53.4477462583,54.2630058484,nan
54.2630058484,54.5205896187,nan
54.5205896187,54.6519467905,nan
54.6519467905,55.1126737465,nan
55.1126737465,55.288163265,nan
55.353592352,55.7658006673,nan
55.7658006673,56.946938776,56.946938776
57.9661451712,58.5329257409,nan
58.5329257409,59.6497681379,nan
59.6497681379,59.8558663576,nan
59.8558663576,60.0773121854,nan
60.0773121854,60.5634492015,nan
60.5634492015,60.737959184,nan
60.8476167576,61.1621089622,nan
61.1621089622,61.551020408,nan
61.8414138515,61.97877551,nan
62.1031834612,62.325260771,nan
62.3992863015,62.667755102,nan
62.7869947827,63.241667778,nan
63.241667778,64.208979592,64.208979592
74.4833005492,74.7108075389,nan
74.7108075389,74.8267834335,nan
74.8267834335,75.2013493864,nan
75.2013493864,75.4255514952,nan
75.4255514952,75.54031746,nan
75.6673006898,76.3422219421,nan
76.3422219421,76.5269572178,nan
76.5269572178,76.652698413,nan
76.7751692361,77.2456387743,nan
77.2456387743,77.4718105027,nan
77.4718105027,78.659047619,78.659047619
81.90617162,82.290336238,nan
82.290336238,82.6123985253,nan
82.6123985253,82.8214750429,nan
82.8214750429,83.598367347,nan
83.7407622717,83.911836735,nan
83.9654995761,84.1403028866,nan
84.1403028866,84.38245215,nan
84.38245215,84.750204082,nan
84.8727912211,86.047346939,86.047346939
88.7781766332,89.8186276735,nan
89.8186276735,90.259591837,nan
90.6584927308,91.415510204,nan
91.5647853215,91.7783850967,nan
91.7783850967,92.120816327,nan
92.516776153,94.145306122,nan
94.2781171711,94.8308380533,nan
94.8308380533,95.960816327,95.960816327
96.6474505212,97.0819158529,nan
97.0819158529,97.776326531,nan
98.0322483963,98.342494331,nan
98.4459134513,98.741247166,nan
98.8396948212,99.154840626,nan
99.154840626,99.5302999977,nan
99.5302999977,100.930612245,100.930612245
104.023349893,104.296261658,nan
104.296261658,104.391836735,nan
104.4872557217,104.7337992174,nan
104.7337992174,104.968022044,nan
104.968022044,105.097142857,nan
105.1973939334,105.724217687,nan
105.8998303458,106.1124508034,nan
106.1124508034,106.3225257488,nan
106.3225257488,106.7062032169,nan
106.7062032169,106.88,nan
106.9928050906,107.32749098,nan
107.32749098,108.878367347,108.878367347
109.5811924395,110.2430084262,nan
110.2430084262,111.353469388,nan
111.462352814,111.6784498085,nan
111.6784498085,111.823673469,nan
111.9505878143,112.2539825584,nan
112.2539825584,112.5934222253,nan
112.5934222253,112.836006715,nan
112.836006715,113.234285714,nan
113.4386967408,113.6768276903,nan
113.6768276903,113.970725624,nan
114.0686770934,114.321043084,nan
114.4051574503,114.753968254,nan
114.8702326649,116.048979592,116.048979592
117.0470446373,117.655473718,nan
117.655473718,118.576326531,nan
118.7974729485,118.92244898,nan
119.0577506352,119.228855351,nan
119.228855351,119.7264420865,nan
119.7264420865,119.968947335,nan
119.968947335,120.620408163,nan
120.9315546365,120.999183673,nan
121.1037542158,121.4310796748,nan
121.4310796748,121.534693878,nan
121.6553956239,121.8905507012,nan
121.8905507012,122.148571429,nan
122.27410909,123.533061224,123.533061224
124.310447823,125.0013645536,nan
125.0013645536,126.1865595242,nan
126.1865595242,126.3951043923,nan
126.3951043923,126.6234193457,nan
126.6234193457,126.9007982058,nan
126.9007982058,127.1262656786,nan
127.1262656786,127.2853484288,nan
127.2853484288,127.89877551,nan
128.2197290801,128.4279983699,nan
128.4279983699,128.695510204,nan
128.7565895698,129.534693878,nan
129.6723381824,130.98122449,130.98122449
